model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29704,1024,30728,17.447242498397827,0.2978203296661377,17.14942216873169,1761.1952148210091,99737.98643396424,59.710466622429145,2025-08-01T11:28:55.174713,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29698,1024,30722,17.368891954421997,0.30610036849975586,17.06279158592224,1768.7944677540813,97020.46471082143,60.01362642469696,2025-08-01T11:29:12.833289,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29692,1024,30716,17.43033456802368,0.3046684265136719,17.12566614151001,1762.2151703472837,97456.76747592873,59.793294552086344,2025-08-01T11:29:30.567917,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29696,944,30640,16.067286729812622,0.37199950218200684,15.695287227630615,1906.9803455457054,79828.06381679174,60.145442788593535,2025-08-01T11:29:46.934735,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29705,1024,30729,17.427573442459106,0.3285048007965088,17.099068641662598,1763.2403100442195,90424.85810854455,59.8863026670927,2025-08-01T11:30:04.696725,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29704,718,30422,12.233883619308472,0.3444943428039551,11.889389276504517,2486.7001311002846,86224.9282767002,60.38998162999775,2025-08-01T11:30:17.255825,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29695,1024,30719,17.41188883781433,0.36274051666259766,17.049148321151733,1764.2543141721594,81862.9257994379,60.06165121630105,2025-08-01T11:30:34.975586,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29708,1024,30732,17.38765573501587,0.3258328437805176,17.06182289123535,1767.4608048577143,91175.58455835545,60.01703373242892,2025-08-01T11:30:52.668644,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29694,1024,30718,17.40185809135437,0.33182549476623535,17.070032596588135,1765.2137972129185,89486.79492188763,59.98816898596149,2025-08-01T11:31:10.376639,True,,True
Qwen_Qwen3-235B-A22B-GPTQ-Int4,29696,1024,30720,17.33107852935791,0.302762508392334,17.028316020965576,1772.5382726736816,98083.47855778271,60.135130140833205,2025-08-01T11:31:28.025425,True,,True
