model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,first_token_time,generation_time,total_tokens_per_second,response_tokens_per_second,preprocess_speed,generation_speed,latency,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113267,652,113919,34.783408403396606,20.752938508987427,20.752938508987427,14.03046989440918,3275.0959503116374,18.744569032410638,5457.87768565631,46.47028965578744,20.752938508987427,2025-07-29T11:58:32.249080,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113264,1149,114413,14.556962728500366,0.5666992664337158,0.5666992664337158,13.99026346206665,7859.6752725069755,78.93130053499615,199866.14895900516,82.12854626472267,0.5666992664337158,2025-07-29T11:58:47.104743,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113262,425,113687,9.740798950195312,0.564612627029419,0.564612627029419,9.176186323165894,11671.219227630241,43.63091797428776,200601.2522176528,46.315537308463234,0.564612627029419,2025-07-29T11:58:57.159804,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113267,1074,114341,14.571078777313232,0.5942113399505615,0.5942113399505615,13.976867437362671,7847.1197464134075,73.70765174039059,190617.36521121228,76.84125250619503,0.5942113399505615,2025-07-29T11:59:12.041365,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113265,971,114236,14.530547142028809,0.5468616485595703,0.5468616485595703,13.983685493469238,7861.782414894664,66.82473760340626,207118.1994538092,69.43806054945125,0.5468616485595703,2025-07-29T11:59:26.879984,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113271,1084,114355,14.639766216278076,0.6337552070617676,0.6337552070617676,14.006011009216309,7811.258616469418,74.04489825764372,178729.89245350735,77.39534113508127,0.6337552070617676,2025-07-29T11:59:41.835506,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113263,1095,114358,14.5678391456604,0.5576303005218506,0.5576303005218506,14.01020884513855,7850.031762196249,75.16557459561108,203114.8592427714,78.15729316411709,0.5576303005218506,2025-07-29T11:59:56.707744,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113277,1023,114300,14.561417818069458,0.5224826335906982,0.5224826335906982,14.03893518447876,7849.510358679743,70.25414782965335,216805.2921137639,72.86877434486725,0.5224826335906982,2025-07-29T12:00:11.580683,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113260,655,113915,14.593456268310547,0.5507304668426514,0.5507304668426514,14.042725801467896,7805.895869052252,44.88313035359018,205654.13903705348,46.64336605728871,0.5507304668426514,2025-07-29T12:00:26.512484,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,113269,798,114067,14.625519037246704,0.5575518608093262,0.5575518608093262,14.067967176437378,7799.17620082449,54.56216616776055,203154.1959802304,56.72461344213119,0.5575518608093262,2025-07-29T12:00:41.446134,True,,True
